,lp,DA,system,BEER,BERTr,CharacTER,EED,ESIM,LASIM,LEPORa,LP,Meteor++_2.0(syntax),Meteor++_2.0(syntax+copy),PReP,UNI,UNI+,USFD,USFD-TL,YiSi-0,YiSi-1,YiSi-1_srl,YiSi-2,YiSi-2_srl,ibm1-morpheme,ibm1-pos4gram,segid,testset,NIST,BLEU,chrF,sacreBLEU-BLEU,TER,CDER,sacreBLEU-chrF,WER,chrF+,PER,LEPORb,WMDO
70,zh-en,0.203,MSRA.MASS.6996,0.6670673480861186,0.8529897933602333,-0.4217527779579562,-0.2957245989339426,0.4953766515152529,,0.7371272739540381,,0.3961070681868535,0.3739026576845231,0.71796771325,,,,,0.7398468145,0.8367333595,0.8155619255000001,0.7445912965,0.701381971,,,1000.5,newstest2019,9.5465,0.4094,65.2954,0.4094,0.5359,0.5746,65.52,0.5043,65.6983,0.6859,0.7371272739540391,-0.142680431475
71,zh-en,0.195,MSRA.MASS.6942,0.6619205225147137,0.8497626000344753,-0.43609146589390946,-0.3010424984358833,0.48608585729356857,,0.7303103906229603,,0.3921142453935934,0.36962373197823056,0.70172149875,,,,,0.7359993205,0.8332397755,0.812275039,0.7439786745,0.7007298285,,,1000.5,newstest2019,9.468,0.3997,64.6166,0.3997,0.5275,0.5662,64.6177,0.4949,65.0164,0.6768,0.73031039062296,-0.146051802426
72,zh-en,0.193,NEU.6832,0.6396220296053782,0.8406674647778273,-0.47318754393576956,-0.3235389886465855,0.4761989501472563,,0.7092649793146664,,0.3754297347631633,0.3517045157280362,0.62319859335,,,,,0.712809928,0.8216132865000001,0.7993427590000001,0.7389310505,0.6958099075,,,1000.5,newstest2019,8.797,0.3628,61.8799,0.3628,0.4701,0.5312,62.5266,0.4381,62.3541,0.6594,0.7092649793146659,-0.165784764502
73,zh-en,0.18600000000000003,BTRANS.6825,0.6349836434037502,0.8356578925251961,-0.48154951576210725,-0.32633485207427293,0.44907202773634347,,0.7089007851752808,,0.37208370809320035,0.34801739597500786,0.6086418889649999,,,,,0.7068626375,0.8147390044999999,0.792439537,0.7373793814999999,0.6946231190000001,,,1000.5,newstest2019,8.6053,0.3541,61.5849,0.3541,0.4548,0.5201,61.9452,0.4207,62.0858,0.6569,0.70890078517528,-0.170809046307
74,zh-en,0.161,online-B.0,0.6775373450331253,0.853272353798151,-0.40292623926353466,-0.2854868488147622,0.5014324897304178,,0.7431449985487489,,0.4057213870307693,0.38335744835337515,0.91218346255,,,,,0.7513386695000001,0.839598687,0.819223095,0.7419976515000001,0.6985669594999999,,,1000.5,newstest2019,9.8358,0.4403,66.276,0.4403,0.5557,0.5914,66.9296,0.5286,66.5637,0.69,0.743144998548749,-0.13701756466700002
75,zh-en,0.10300000000000001,BTRANS-ensemble.6992,0.6371142188276312,0.8366042811274529,-0.47865443680553155,-0.3245008296528831,0.44998738646972924,,0.7108709066172264,,0.3735972630894976,0.3494844631223832,0.6108172549149999,,,,,0.7088787789999998,0.815888343,0.7936907670000001,0.7371955025,0.69434907,,,1000.5,newstest2019,8.6668,0.3577,61.7803,0.3577,0.4594,0.5228,62.0032,0.4258,62.2779,0.6572,0.710870906617225,-0.168616639004
76,zh-en,0.054000000000000006,UEDIN.6530,0.6041624001793109,0.8156886740475893,-0.5447058136354753,-0.36165386463329197,0.40969261451624334,,0.6685082393185641,,0.34718890879464676,0.3202222066209016,0.5429215583299999,,,,,0.6752542975,0.7914396265,0.768435745,0.732798068,0.6897491415,,,1000.5,newstest2019,7.8325,0.2971,57.1145,0.2971,0.3838,0.4694,56.6805,0.3512,57.6059,0.6011,0.668508239318565,-0.19870243328200002
77,zh-en,0.049,online-Y.0,0.6178597774033533,0.8150153495073319,-0.5195523500288928,-0.35111750582256357,0.4122010450763628,,0.6711751046012507,,0.3578105152375123,0.33240894141069494,0.5644650137999999,,,,,0.6929158049999999,0.8021083025,0.779192554,0.7401383890000001,0.6963305755,,,1000.5,newstest2019,8.236,0.3054,58.2222,0.3054,0.4588,0.4898,58.2869,0.4271,58.5103,0.5966,0.6711751046012521,-0.19305305658100003
78,zh-en,0.001,NICT.6814,0.6153297990638615,0.8241766956448555,-0.504059007410974,-0.3452110111056827,0.41306757311709225,,0.6924801695979432,,0.35708827697684464,0.32933315523309575,0.5430672737,,,,,0.684523201,0.795044813,0.7733410230000001,0.736647655,0.694569038,,,1000.5,newstest2019,8.0549,0.3261,58.9834,0.3261,0.4209,0.4985,58.9802,0.3866,59.5657,0.635,0.6924801695979421,-0.189519594894
79,zh-en,-0.065,online-A.0,0.6155771951972125,0.8163507275432348,-0.5227173504318068,-0.351664105056785,0.3716410995237529,,0.6750211435945324,,0.3569380040220052,0.3318925328373912,0.9215167980500001,,,,,0.6889546554999999,0.793801681,0.770636248,0.7372713445,0.6940463445,,,1000.5,newstest2019,8.393,0.3128,58.5102,0.3128,0.4341,0.4824,59.1045,0.3989,58.8498,0.614,0.6750211435945329,-0.191211256287
80,zh-en,-0.20199999999999999,online-G.0,0.5988581319642894,0.8007991680949926,-0.5678315519268661,-0.36916994688799604,0.32094707666989414,,0.6478882395688439,,0.3393712936232271,0.31184529533739475,0.54176816065,,,,,0.67717476835,0.7792936575,0.7551623320000002,0.735884911,0.6922280515,,,1000.5,newstest2019,7.8969,0.2806,56.2719,0.2806,0.4031,0.4463,55.8495,0.3665,56.5101,0.5745,0.647888239568844,-0.208710213471
81,zh-en,-0.483,online-X.0,0.5679979552472224,0.7863351101577282,-0.5903609020967436,-0.4012577746957541,0.2753520399369299,,0.6399412999817334,,0.323907169959857,0.29310727949730747,0.4582802683,,,,,0.638451984,0.7405115305,0.71712354,0.7267924840000001,0.6839758830000001,,,1000.5,newstest2019,7.3594,0.2515,51.5024,0.2515,0.3708,0.4191,51.8508,0.341,51.9457,0.5484,0.639941299981734,-0.22255602453099999
82,zh-en,-0.9570000000000001,Apprentice-c.6706,0.5118566725262246,0.7213181958198548,-0.731767742984659,-0.46134313733736054,0.07352235413622112,,0.5530833433739977,,0.2661294489986212,0.22858206909886938,0.357626845175,,,,,0.586003991,0.6886495215,0.6644063385,0.7108040590000001,0.6658668225000001,,,1000.5,newstest2019,5.2143,0.1777,43.8478,0.1721,0.3102,0.3552,42.5638,0.2864,44.5407,0.4619,0.553083343373999,-0.287748464925
83,en-zh,0.306,KSAI-system.6982,0.39564476751279476,,-0.5778323488506167,-0.4702822329081468,0.5385352780272495,,,,,,,,,,,0.6169969043565349,0.8437655543314972,0.805834355032549,0.7416793319979971,0.706164759138708,,,999.0,newstest2019,9.1408,0.4242,55.338,0.1666,0.4828,0.5773,37.753,0.4473,49.3265,0.6894,,
84,en-zh,0.28,Baidu-system.6932,0.3781924607306847,,-0.5819715180547949,-0.4725342317916636,0.5425348521490536,,,,,,,,,,,0.6236672263395092,0.844071375062594,0.8047865628442664,0.7421498222333501,0.705840755132699,,,999.0,newstest2019,9.2213,0.4247,55.3691,0.197,0.4827,0.5795,40.578,0.4467,49.0552,0.6894,,
85,en-zh,0.209,NEU.6830,0.36098606739290134,,-0.6279671336590895,-0.5069587812001146,0.5091564066483768,,,,,,,,,,,0.600646609364046,0.83706253780671,0.7977988397596395,0.7390405888833249,0.7045718597896845,,,999.0,newstest2019,8.8975,0.399,53.175,0.1099,0.467,0.5572,34.2616,0.4304,46.2827,0.6711,,
86,en-zh,0.052000000000000005,online-A.0,0.3176550786096029,,-0.7077436567504646,-0.5798217644061544,0.4131541874070368,,,,,,,,,,,0.5523831567351026,0.8176602689033551,0.7770119629444167,0.7353846915373059,0.699829557336004,,,999.0,newstest2019,7.8385,0.3129,45.8106,0.0229,0.4061,0.4862,25.7531,0.3711,39.5987,0.5871,,
87,en-zh,0.042,xzl-nmt.6847,0.3418141170818887,,-0.6777565195805275,-0.5400119300322624,0.44192053111686064,,,,,,,,,,,0.5750345513269904,0.8206752674011017,0.7813611712568853,0.7399120941412118,0.7055152593890837,,,999.0,newstest2019,8.4517,0.3563,49.5799,0.0971,0.4409,0.5203,30.9505,0.4043,42.8095,0.6262,,
88,en-zh,0.017,UEDIN.6158,0.33707379093892753,,-0.6831941971738761,-0.546512718330164,0.44290999944462184,,,,,,,,,,,0.5677926189283926,0.8203355488232348,0.7813398087130696,0.7383362558838257,0.7041487491236855,,,999.0,newstest2019,8.3099,0.3442,48.8383,0.0716,0.4334,0.5102,29.8686,0.3963,42.4348,0.6165,,
89,en-zh,0.009000000000000001,BTRANS.6821,0.3648468509441685,,-0.6057380233518718,-0.49425393403971796,0.47408014465238607,,,,,,,,,,,0.6000728334501753,0.8287947886830245,0.7900843520280421,0.745786774161242,0.7101319674511767,,,999.0,newstest2019,8.5214,0.3835,52.7256,0.0858,0.4248,0.5451,36.2947,0.388,46.1711,0.6598,,
90,en-zh,0.0,NICT.6817,0.32598299287441496,,-0.6871463339398711,-0.5554396389294779,0.4303206490773874,,,,,,,,,,,0.5616276875312969,0.8174716449674512,0.7786319424136203,0.7357230856284427,0.6997394366549826,,,999.0,newstest2019,8.1382,0.3446,49.0528,0.0514,0.4158,0.5116,28.2107,0.3792,42.0764,0.6301,,
91,en-zh,-0.125,online-B.0,0.35742074091091436,,-0.6462681425513009,-0.5182855590083392,0.4781881151937739,,,,,,,,,,,0.5952574171256885,0.8260844181271908,0.7871738337506259,0.7516019584376564,0.7156584571857787,,,999.0,newstest2019,8.7297,0.3693,51.5811,0.0426,0.4683,0.5372,33.848,0.429,44.3961,0.6388,,
92,en-zh,-0.218,online-Y.0,0.34058931391728475,,-0.6989872859982675,-0.5568288753949886,0.3779627219410068,,,,,,,,,,,0.5531696938908363,0.8085975187781672,0.768985023535303,0.7437438833249874,0.7086514366549824,,,999.0,newstest2019,8.04,0.3239,47.1554,0.0708,0.4228,0.4939,27.5087,0.3826,41.6734,0.6031,,
93,en-zh,-0.262,online-G.0,0.32442519947365667,,-0.7159321300598667,-0.5759035876588816,0.33112130617875835,,,,,,,,,,,0.553160285327992,0.8012858142213319,0.7620221156735102,0.7491202924386579,0.7134418072108162,,,999.0,newstest2019,7.7954,0.3022,45.899,0.041,0.3977,0.476,28.5101,0.3538,39.4146,0.5908,,
94,en-zh,-0.5529999999999999,online-X.0,0.28866319835336807,,-0.7924616349331828,-0.6521451783869705,0.2666363574103459,,,,,,,,,,,0.505023426189284,0.7818653099649475,0.741977130195293,0.7359848317476214,0.7010985257886831,,,999.0,newstest2019,6.8185,0.2452,39.1163,0.0053,0.3262,0.3997,20.9318,0.2877,33.5983,0.5083,,
95,fr-de,0.267,MSRA.MADL.6893,0.6443680312686002,,-0.39601174394863947,-0.2968022531501539,0.7322499278577199,,,,,,,,,,,0.7002190335097002,0.8839533768371547,0.8618084479717812,0.7988956754850087,,-183442.84622431867,-2301030.921243748,1322.0,newstest2019,6.4463,0.285,64.6862,0.3691,0.5177,0.5537,64.5564,0.4931,64.7996,0.6531,,
96,fr-de,0.24600000000000002,eTranslation.6262,0.6312060132543887,,-0.4174502623388245,-0.3110238913244632,0.708488927809998,,,,,,,,,,,0.6844490544973545,0.8770281904761904,0.8553712351557908,0.7984573286302175,,-153459.78292828923,-1978278.6572675144,1322.0,newstest2019,6.2962,0.2711,62.9638,0.3423,0.4966,0.53,62.7169,0.4714,62.9856,0.6329,,
97,fr-de,0.08199999999999999,LIUM.6720,0.6108863680981382,,-0.44145780165645554,-0.32324956812025835,0.6497279516668187,,,,,,,,,,,0.667115927983539,0.8685750670194002,0.8460018124632568,0.7991138547912991,,-182267.2862762616,-2182278.37988013,1322.0,newstest2019,5.8752,0.2435,61.306,0.3147,0.4501,0.5052,61.6334,0.4197,61.4325,0.5847,,
98,fr-de,0.037000000000000005,MLLP-UPV.6654,0.599387515569668,,-0.45893939777439313,-0.33733950465669016,0.6320649756897221,,,,,,,,,,,0.6530460024691357,0.8629168218694885,0.8396925761316871,0.7990075332157554,,-142290.3254200682,-1994153.170537162,1322.0,newstest2019,5.6319,0.2257,59.6323,0.2913,0.4281,0.4864,59.7124,0.4031,59.6997,0.5711,,
99,fr-de,0.001,online-Y.0,0.5843054467029593,,-0.47901136210374395,-0.3556166917883924,0.5837573413118426,,,,,,,,,,,0.634533677483833,0.8569082810111699,0.8329206455026454,0.7986371945914169,,-169920.72084802703,-1885392.7434755908,1322.0,newstest2019,5.3966,0.2078,57.4171,0.2703,0.4199,0.468,57.832,0.3959,57.3284,0.5683,,
100,fr-de,-0.018000000000000002,online-G.0,0.5850218426262417,,-0.46885400632058616,-0.3437055124225602,0.615232910293766,,,,,,,,,,,0.6438760759553204,0.8564875884773664,0.8311824644326867,0.7979251675485007,,-163454.4920714709,-2011790.0543736268,1322.0,newstest2019,5.5848,0.2228,58.1616,0.2855,0.3991,0.4638,58.695,0.3767,58.0533,0.5317,,
101,fr-de,-0.034,online-B.0,0.5899007553472698,,-0.4783201099658035,-0.35425708647614795,0.5997852268808087,,,,,,,,,,,0.639917786478542,0.8578010487948265,0.8338642962962962,0.7966386649029982,,-145817.46561024283,-1941242.139213396,1322.0,newstest2019,5.5586,0.2165,57.6598,0.2756,0.4305,0.4724,57.9552,0.4047,57.6754,0.5845,,
102,fr-de,-0.039,online-A.0,0.5983555990726012,,-0.4646662118482995,-0.3416803523666526,0.6072168537056395,,,,,,,,,,,0.6486718908289243,0.8607943186360965,0.8365973004115226,0.7966857548500881,,-163454.24744771604,-2031777.8762980886,1322.0,newstest2019,5.6118,0.2217,59.1023,0.2864,0.4308,0.4848,59.2093,0.4064,59.1941,0.5742,,
103,fr-de,-0.098,TartuNLP-c.6514,0.5797476556872654,,-0.48352052581798705,-0.35517208366438546,0.5840432331998608,,,,,,,,,,,0.6312888267489712,0.8551160917107583,0.8318912939447384,0.8002437007642563,,-158163.0769750876,-1887156.5338499309,1322.0,newstest2019,5.3379,0.2047,57.4584,0.2646,0.406,0.4614,57.7841,0.382,57.4224,0.552,,
104,fr-de,-0.41,online-X.0,0.5769233013731191,,-0.48836583124064353,-0.3612290183941821,0.5291731507171915,,,,,,,,,,,0.6332473374485598,0.8482081105232218,0.8226067824808937,0.8025873421516756,,-132295.7326625891,-1988862.6307937638,1322.0,newstest2019,5.2813,0.1991,56.3896,0.2549,0.3791,0.4535,56.4328,0.3553,56.5921,0.5107,,
105,ru-en,0.156,Facebook_FAIR.6937,0.6452553141625855,0.8447944825738668,-0.38686847381255046,-0.2877528109353734,0.5644518155390397,0.9029507493550001,,2.6150385,0.4033798067960565,0.38967111615043937,0.7123637963999999,0.5406229145049999,0.564883641365,,,0.716879317,0.8406340200000001,0.8214140434999999,0.76994281,,,,1567.195,newstest2019,5.7236,0.2606,63.2229,0.4125,0.5543,0.5904,64.7604,0.5252,63.9077,0.6933,,-0.156914907406
106,ru-en,0.134,online-G.0,0.6396979523745644,0.8294890922009945,-0.40415405945102284,-0.2980791319597047,0.4774620158364996,0.906858914115,,2.4222915000000005,0.4001047588909599,0.38630526888369865,0.7352970525,0.5333175520069999,0.55689114978,,,0.7103669155,0.82099827,0.8000445694999999,0.772830739,,,,1567.195,newstest2019,5.7547,0.2634,62.2491,0.4149,0.5341,0.5783,63.7355,0.5047,62.8557,0.6803,,-0.160947277432
107,ru-en,0.122,eTranslation.6598,0.6311524698924367,0.8260354578197002,-0.41747589840624366,-0.30907834349689073,0.5083393863793463,0.902513277735,,2.5127935,0.38667608895374017,0.37148730524495693,0.6616321525000001,0.537038052702,0.56043116316,,,0.7008018165,0.822532379,0.8027699645,0.7693095924999999,,,,1567.195,newstest2019,5.6938,0.2522,60.7915,0.3861,0.5345,0.5674,62.6007,0.5057,61.4001,0.6726,,-0.17616753062399998
108,ru-en,0.121,online-B.0,0.6647833216830459,0.8423780129104853,-0.3645336204158369,-0.27094196048518643,0.5322949916543439,0.9070188989000001,,2.5544919999999998,0.41730166291450954,0.40349396683132854,0.9227501595500001,0.532348990127,0.5556230167999999,,,0.73592823,0.8403139535,0.821411781,0.7733122525000001,,,,1567.195,newstest2019,6.0925,0.2952,65.7534,0.4656,0.5841,0.6207,67.4572,0.5567,66.3006,0.7179,,-0.145291684332
109,ru-en,0.115,NEU.6803,0.6474966054177976,0.8374598847776651,-0.3867674622760803,-0.2877555289705051,0.5022803882369772,0.910004339375,,2.355793,0.4022364891254232,0.38805102572263833,0.7287989216,0.536827778427,0.56059879716,,,0.7173083739999999,0.832603907,0.8127541695,0.7765742620000001,,,,1567.195,newstest2019,5.7616,0.2639,63.4848,0.4115,0.5495,0.5963,64.9259,0.5218,64.1716,0.6868,,-0.156361704535
110,ru-en,0.102,MSRA.SCA.6976,0.6453897178946241,0.8322254554778338,-0.39798447595528197,-0.2949339279336855,0.4922008424429223,0.90646051135,,2.4657270000000002,0.39597437403194724,0.38113581240453165,0.7065949970000001,0.5333214217924999,0.55646578398,,,0.7140918455,0.8292462765,0.8090760685,0.7736243705,,,,1567.195,newstest2019,5.8371,0.2662,62.7917,0.4108,0.5479,0.5844,64.0905,0.519,63.3838,0.6894,,-0.161845009834
111,ru-en,0.084,rerank-re.6540,0.6065395109198237,0.8224867687299847,-0.4230711265518088,-0.3061207881028531,0.44957031977642326,0.9093996029499999,,2.477259,0.3886326884820498,0.3736986774093515,0.69668097875,0.533557806047,0.5565466546925,,,0.6995395426,0.817122066,0.7973555524999999,0.7764137735,,,,1567.195,newstest2019,5.5564,0.2491,61.3772,0.3903,0.5277,0.572,62.9706,0.4997,62.0621,0.6734,,-0.177736042971
112,ru-en,0.076,online-Y.0,0.6337065397132722,0.8197328932732344,-0.40737174756323075,-0.30460754280886615,0.45493253752589224,0.9086208434699999,,2.7435074999999998,0.39317636204874473,0.37886392159327,0.67641158755,0.51948387757,0.541470101333,,,0.704251305,0.821518145,0.800710017,0.775433903,,,,1567.195,newstest2019,5.5395,0.2435,61.624,0.3827,0.5224,0.566,62.9539,0.4945,62.1402,0.6682,,-0.17993291557799998
113,ru-en,0.028999999999999998,online-A.0,0.6244509739237452,0.8186263763457536,-0.4171922423580031,-0.3107566577687394,0.4444700042698532,0.909173350435,,2.4321260000000002,0.3795937026695385,0.36259497528583734,0.6643444530999999,0.5294581721000001,0.552223133495,,,0.6949868784999998,0.808544935,0.7884835459999999,0.7733189119999999,,,,1567.195,newstest2019,5.4559,0.2402,60.5474,0.3784,0.5113,0.5559,61.9282,0.485,61.0998,0.6628,,-0.175580814634
114,ru-en,0.012,afrl-syscomb19.6782,0.6278130242780129,0.8130433300584554,-0.415672294869686,-0.3094200354130007,0.3884492349419743,0.9055168658699999,,2.3554405,0.3834312807902081,0.3673580584524243,0.6740775926,0.5260443155719999,0.5481101583499999,,,0.6967685225,0.8056398199999999,0.7852912015,0.7708875774999999,,,,1567.195,newstest2019,5.5309,0.2462,60.7677,0.3841,0.5206,0.5627,62.3674,0.4924,61.3917,0.6715,,-0.179885975889
115,ru-en,-0.039,afrl-ewc.6659,0.6130347601635662,0.8096225498318672,-0.43038967394845895,-0.32100283647188915,0.3863583983266726,0.9035841594049999,,2.3982229999999998,0.36780918326617756,0.35013639036438315,0.61344905975,0.53041245501,0.5536183272349999,,,0.6807621260000001,0.798319003,0.778907871,0.769295528,,,,1567.195,newstest2019,5.2283,0.2237,59.0107,0.3506,0.4994,0.5432,60.8339,0.4731,59.6155,0.6519,,-0.19400613349800003
116,ru-en,-0.04,TartuNLP-u.6650,0.5960365689285865,0.7977503625899554,-0.4564361060944693,-0.34101689663430446,0.3994225467275828,0.9064076320300001,,2.4045435000000004,0.35568063893216506,0.33713243200546517,0.5622408649,0.53129347162,0.5543174866050001,,,0.6610874115,0.786390769,0.766175967,0.7638202225,,,,1567.195,newstest2019,4.9903,0.2039,56.4353,0.3206,0.4706,0.5092,57.5719,0.443,57.0466,0.6262,,-0.21161680316
117,ru-en,-0.09699999999999999,online-X.0,0.593043258271642,0.7967987739145755,-0.4523739878814007,-0.34231053296569736,0.32388236854970454,0.90244349011,,2.587971,0.36663879515681863,0.3479097055860004,0.6001584635500001,0.519173147745,0.5409854546900001,,,0.663836377,0.763412448,0.7431039365,0.7591804560000001,,,,1567.195,newstest2019,5.1347,0.2205,56.2072,0.3486,0.46,0.5122,57.3025,0.4351,56.8488,0.6094,,-0.194301864207
118,ru-en,-0.303,NICT.6561,0.5508475416122736,0.7317753120809793,-0.5110184743118552,-0.3952457941547036,-0.0014379457850009203,0.9127942513099999,,2.9020915,0.31546404692492874,0.29729256900800477,0.486848413505,0.51355911341,0.5345171294775001,,,0.60004636158,0.7175264055,0.6961256310000001,0.7934095600000001,,,,1567.195,newstest2019,4.6116,0.1865,50.5932,0.2907,0.4315,0.488,54.1449,0.4064,51.4084,0.5847,,-0.286410729317
119,kk-en,0.27,online-B.0,0.5949347154064774,0.8033203436732292,-0.5046227693893992,-0.3537097347099334,0.45068678332492706,,0.6500097072488947,,0.35439148289690325,0.33680621633130114,0.818961196,,,,,0.657215859,0.788526417,0.7653202969999999,0.685573826,,,,500.5,newstest2019,7.6229,0.3393,55.9595,0.3393,0.4611,0.5042,57.3677,0.4305,56.6725,0.6167,0.6500097072488951,-0.209044681114
120,kk-en,0.218,NEU.6753,0.59096884448897,0.8071262695491314,-0.5038804646910543,-0.3515315175242722,0.4236256393287331,,0.6603778696308328,,0.35555680497666914,0.33949657690072493,0.48076277359999997,,,,,0.655185749,0.791858033,0.769659078,0.6865050249999999,,,,500.5,newstest2019,7.4697,0.3251,56.3163,0.3251,0.4348,0.4997,57.5442,0.3995,57.1069,0.6289,0.660377869630834,-0.208369564871
121,kk-en,0.18899999999999997,rug_kken_morfessor.6677,0.5735930308326165,0.7948402079939842,-0.5309266256581877,-0.3672559990994632,0.402713835882023,,0.6395076206410838,,0.3431878801560871,0.3261656869150313,0.4504042839,,,,,0.638581462,0.776951141,0.754712727,0.684650458,,,,500.5,newstest2019,7.017,0.2999,54.3691,0.2999,0.3941,0.4722,55.0636,0.3549,55.1545,0.5926,0.639507620641083,-0.226154068223
122,kk-en,0.133,online-G.0,0.5605577503026741,0.7832953661680222,-0.5566667978709925,-0.38383777980133893,0.3220723329782486,,0.6167123746212938,,0.3312322832703297,0.3146107417856908,0.4184922541,,,,,0.6242842940000001,0.760535666,0.7367675890000001,0.680943684,,,,500.5,newstest2019,6.9784,0.2913,52.6363,0.2913,0.3792,0.4531,54.4189,0.3412,53.2552,0.5901,0.6167123746212929,-0.240853595598
123,kk-en,0.113,talp_upc_2019_kken.6657,0.5498471188881167,0.7726623488366604,-0.5800660734445592,-0.39308049392374234,0.3461275095120072,,0.6070840682495691,,0.3254117136837962,0.307601834082448,0.4023943227,,,,,0.610861666,0.750705774,0.727400511,0.6792703999999999,,,,500.5,newstest2019,6.6711,0.2696,51.4356,0.2696,0.358,0.4333,52.6752,0.3177,52.1097,0.5728,0.607084068249569,-0.25215398086199997
124,kk-en,0.092,NRC-CNRC.6895,0.5583161843943794,0.780137034624815,-0.5511241701549657,-0.38477558238059284,0.278883739201352,,0.6198256452916031,,0.3282908768805576,0.31131823191322233,0.4018134772,,,,,0.619676004,0.757577808,0.734081188,0.685421253,,,,500.5,newstest2019,6.6534,0.2678,52.4304,0.2677,0.3726,0.4523,54.3864,0.3325,53.1878,0.5711,0.6198256452916031,-0.24811041660799998
125,kk-en,0.066,Frank_s_MT.6127,0.5243926906212496,0.7934620128571988,-0.5432502212692987,-0.36097413089033215,0.3138057337254286,,0.5553948367752509,,0.33810741889329077,0.31685891088398044,0.39013453049999997,,,,,0.6293516870000001,0.7617052329999999,0.7386678019999999,0.678925328,,,,500.5,newstest2019,5.2285,0.2129,55.016,0.2129,0.0624,0.4664,56.165,0.0443,55.7952,0.2296,0.55539483677525,-0.25610042433200003
126,kk-en,0.064,NICT.6770,0.5552493274645244,0.7688278728872537,-0.5629200262616834,-0.3915357187585905,0.2357518205754459,,0.6182045570103792,,0.32057775659851495,0.30174783139196554,0.41640597609999996,,,,,0.6183984628000001,0.7448225359999999,0.721382658,0.685719545,,,,500.5,newstest2019,6.7136,0.2798,51.5469,0.2798,0.3745,0.4542,53.2322,0.3364,52.3782,0.5814,0.618204557010379,-0.252409235778
127,kk-en,0.003,CUNI-T2T-transfer-kken.6436,0.507374721973548,0.7352413156926632,-0.6585220641769588,-0.44497869499400255,0.2423873108625412,,0.5386242328060176,,0.2820150520668983,0.260564918759827,0.3297391529,,,,,0.5670849169999999,0.7153580380000001,0.690527242,0.6753617780000001,,,,500.5,newstest2019,5.7313,0.2017,44.3586,0.2017,0.3294,0.3736,44.9609,0.301,44.9697,0.4824,0.5386242328060179,-0.294905726002
128,kk-en,-0.47700000000000004,UMD.6736,0.38899718185980936,0.6050650120377541,-0.8050287227761437,-0.5664365029670299,-0.22634792288392783,,0.3779315486955808,,0.1711968276281437,0.14751351010995262,0.19577218429999999,,,,,0.43482942920000006,0.555407046,0.528660217,0.637963669,,,,500.5,newstest2019,3.3079,0.1012,29.6787,0.1012,0.148,0.2439,29.6927,0.1328,30.3407,0.3489,0.37793154869558,-0.43214701032799996
129,kk-en,-1.058,DBMS-KU_KKEN.6726,0.300536843342995,0.4946522770226002,-0.8652836937391296,-0.6626318515092134,-1.292431036297232,,0.2787527421588321,,0.11935431852038962,0.09945575236157637,0.12354405080000001,,,,,0.3098861304,0.41893034999999995,0.39265867600000004,0.729190876,,,,500.5,newstest2019,2.4216,0.0374,18.4253,0.0374,0.0114,0.1675,20.6853,0.0004,19.7479,0.2413,0.27875274215883195,-0.623407335727
130,gu-en,0.21,NEU.6756,0.5581159543494755,0.7651822117897938,-0.5242752143932281,-0.3791126624958802,0.23551070619939174,,,,0.3250573764130459,0.30894550605654325,0.3977631881889764,,,,,0.6276074562992127,0.7380218435039371,0.7177317519685038,0.625130875,,,,508.5,newstest2019,6.6638,0.2706,50.975,0.2706,0.3852,0.444,52.4192,0.3489,51.7725,0.5753,,-0.24166547676300001
131,gu-en,0.126,UEDIN.6534,0.5361015723106469,0.7447443028075957,-0.5607241273944303,-0.4025500612303626,0.14501545080863762,,,,0.3064662480867237,0.28881215240638375,0.3619499718503937,,,,,0.6005257913385826,0.7147473287401576,0.6943704458661418,0.6262118710629921,,,,508.5,newstest2019,6.2117,0.2352,48.1284,0.2352,0.3518,0.4126,49.505,0.3165,48.9424,0.5452,,-0.260280622541
132,gu-en,0.1,GTCOM-Primary.6969,0.522200682950773,0.7238303345782081,-0.5900195432364411,-0.4178012717619729,-0.015435219703858175,,,,0.29737936616605004,0.28066757987715446,0.33374429202755906,,,,,0.5854355049212598,0.6901466269685039,0.6691107559055117,0.6278321722440946,,,,508.5,newstest2019,5.9721,0.1985,46.7363,0.1985,0.3067,0.3678,47.681,0.2694,47.3034,0.5091,,-0.286267982875
133,gu-en,0.09,CUNI-T2T-transfer-guen.6431,0.5151902961188448,0.7253244570859774,-0.589688954898125,-0.4258434447898955,0.08689095143331435,,,,0.28915796532414917,0.27163330346147063,0.32514133641732285,,,,,0.5802300885826772,0.6937539330708661,0.6736340472440945,0.6237830334645669,,,,508.5,newstest2019,5.7038,0.1992,45.7618,0.1992,0.297,0.3613,45.7674,0.2635,46.3337,0.4965,,-0.28884666465
134,gu-en,0.066,aylien_mt_gu-en_multilingual.6826,0.513948924582401,0.7200228919194439,-0.6190100529639629,-0.43267758825141206,0.0278270301211068,,,,0.2858204998285409,0.2690607712525364,0.3206075739173228,,,,,0.5778135452755906,0.6888987391732284,0.6677128051181103,0.6273450393700788,,,,508.5,newstest2019,5.9227,0.1935,44.6991,0.1935,0.3196,0.3647,46.0474,0.2853,45.2957,0.4919,,-0.29618748911
